id,customer_id,customer_name,customer_type,contact_person,contact_phone,address,warehouse_code,warehouse_name,delivery_type,default_region,status,created_at,updated_at
4,CUSTOMER-WANGKOU,天津王口镇店,微信订单,王静,15133626603,天津市静海区王口镇制茶青年,WH-TJ,天津仓,SELF_PICKUP,天津,ACTIVE,2026-04-29 12:27:33.957744,2026-04-29 12:27:33.957744
5,CUSTOMER-GUANGCHENG,长沙广承供应链有限公司,ERP导出,张经理,13800138000,长沙市雨花区环保路88号,WH-CD,成都仓,DELIVERY,成都,ACTIVE,2026-04-29 12:27:33.957744,2026-04-29 12:27:33.957744
6,CUSTOMER-CANGZHOU,沧州任丘长丰镇店,微信订单,史帅男,13900001111,河北省沧州市任丘市长丰镇,WH-CZ,沧州仓,SELF_PICKUP,沧州,ACTIVE,2026-04-29 12:27:33.957744,2026-04-29 12:27:33.957744
7,HZ2026000001,郑州洛点餐饮管理有限公司,ERP导出,,,,,,,,ACTIVE,2026-05-13 13:35:02.063698,2026-05-13 13:35:02.063698
8,HZ2026051100001,上海橙翼达供应链管理有限公司,普通客户,苏玲,18845590212,黑龙江省哈尔滨市南岗区街277号,,,零担整车运输；整车运输；零担整车运输（整合）,黑龙江省,ACTIVE,2026-05-11 11:12:09,2026-05-13 17:24:36.909732
9,HZ2026051000001,安徽汇旺餐饮管理有限公司（常温）,普通客户,,,安徽省蚌埠市禹会区长青南路1251号安徽汇旺餐饮管理有限公司,,,仓配一体,安徽省,ACTIVE,2026-05-10 09:49:25,2026-05-13 17:24:36.909732
10,HZ2026050900001,上海睿山国际贸易有限公司,普通客户,,,安徽省蚌埠市龙子湖区龙子湖区,,,零担整车运输（整合）,安徽省,ACTIVE,2026-05-09 09:39:02,2026-05-13 17:24:36.909732
11,HZ2026050800001,爱戈芮食品(上海)有限公司,普通客户,,,上海市上海城区静安区铜仁路299号S0HO东海广场1704B,,,零担整车运输,上海市,ACTIVE,2026-05-08 12:00:41,2026-05-13 17:24:36.909732
12,HZ2026050600001,筷码（廊坊）供应链管理有限公司,普通客户,,,河北省廊坊市广阳区河北省廊坊市广阳区万达广场C9-2-102-6,,,仓配一体,河北省,ACTIVE,2026-05-06 17:48:44,2026-05-13 17:24:36.909732
13,HZ2026050500001,南昌派派食品有限公司,普通客户,程丹丹,13247164711,江西省南昌市新建区保税六路与嘉茂一路交汇处西100米(万纬南昌昌北冷链园区)华鼎冷链,,,仓配一体,江西省,ACTIVE,2026-05-05 10:06:18,2026-05-13 17:24:36.909732
14,HZ2026050100001,赣州兴麦商贸有限公司,普通客户,,,江西省赣州市兴国县江西省赣州市国其埠头乡苏区大道埠程段分岔路口东100米2楼,,,仓配一体,江西省,ACTIVE,2026-05-01 11:34:17,2026-05-13 17:24:36.909732
15,HZ2026043000001,陕西菜字头食品科技有限公司,普通客户,,,陕西省安康市石泉县城关镇黄荆坝社区古堰工业园区,,,零担整车运输；整车运输；零担整车运输（整合）,陕西省,ACTIVE,2026-04-30 15:19:19,2026-05-13 17:24:36.909732
16,HZ2026042900002,餐邦(北京)供应链管理有限公司,普通客户,,,北京市北京城区朝阳区朝阳路67号院7号楼7层801,,,仓配一体,北京市,ACTIVE,2026-04-29 11:19:12,2026-05-13 17:24:36.909732
17,HZ2026042900001,广东荭花食品有限公司,普通客户,,,"广东省佛山市南海区广东省佛山市南海区九江镇沙头九樵路 
86-1号，自编109室、202室、301室",,,零担整车运输,广东省,ACTIVE,2026-04-29 10:41:12,2026-05-13 17:24:36.909732
18,HZ2026042800001,飒禄（广州）餐饮管理有限公司,普通客户,,,广东省广州市海珠区新港西路82号中大天地西区一楼外圈商铺飒禄岛泰茶,,,仓配一体,广东省,ACTIVE,2026-04-28 12:52:36,2026-05-13 17:24:36.909732
19,HZ2026042700002,中科盛润食品科技（山东）有限公司,普通客户,,,山东省菏泽市成武县天宫庙镇S242与丰顺路交叉口往西200米路南0001号院,,,零担整车运输,山东省,ACTIVE,2026-04-27 19:13:09,2026-05-13 17:24:36.909732
20,HZ2026042600001,山东圣沣食品集团有限公司,普通客户,,,山东省潍坊市昌乐县红河镇乐港食品第三冷藏厂,,,零担整车运输,山东省,ACTIVE,2026-04-26 10:10:22,2026-05-13 17:24:36.909732
21,HZ2026042500002,常州抖金餐饮管理有限公司,普通客户,颜培芝,,江苏省常州市天宁区江苏省常州市天宁区和电路6号1幢304室,,,仓配一体,江苏省,ACTIVE,2026-04-25 16:05:53,2026-05-13 17:24:36.909732
22,HZ2026042400002,潍坊膳仪食品有限公司,普通客户,,15634680379,山东省潍坊市诸城市山东省潍坊市诸城市相州镇驻地,,,零担整车运输,山东省,ACTIVE,2026-04-24 10:33:15,2026-05-13 17:24:36.909732
23,HZ2026042400001,杭州鲜荟鲜餐饮管理有限公司,普通客户,,,浙江省杭州市上城区九堡街道新泽艺金座2幢2单元721室A29,,,仓配一体,浙江省,ACTIVE,2026-04-24 09:55:13,2026-05-13 17:24:36.909732
