id,shipper_id,shipper_name,customer_sku_code,customer_sku_name,system_sku_code,system_sku_name,unit_conversion_rule,confidence,source,status,created_at,updated_at
1,HZ2023061500002,河南上黎供应链管理有限公司,SK241120000197,柠檬（常温）,SK241120000197,柠檬（常温）,"{'unit': '箱', 'ratio': 1.0, 'package_spec': '15kg/箱'}",0.95,AUTO,ACTIVE,2026-05-12 10:47:22.097584,2026-05-12 10:47:22.097584
2,HZ2023061500002,河南上黎供应链管理有限公司,SK260506000023,速冻芭乐浆,SK260506000023,速冻芭乐浆,"{'unit': '件', 'ratio': 12.0, 'package_spec': '1kg*12瓶/件'}",0.95,AUTO,ACTIVE,2026-05-12 10:47:22.097584,2026-05-12 10:47:22.097584
3,HZ2023061500002,河南上黎供应链管理有限公司,SK260506000022,速冻芭乐浆,SK260506000022,速冻芭乐浆,"{'unit': '瓶', 'ratio': 1.0, 'package_spec': '瓶'}",0.95,AUTO,ACTIVE,2026-05-12 10:47:22.097584,2026-05-12 10:47:22.097584
4,HZ2023061500002,河南上黎供应链管理有限公司,SK260506000016,120口径封口膜（4卷装）,SK260506000016,120口径封口膜（4卷装）,"{'unit': '件', 'ratio': 4.0, 'package_spec': '4卷/件'}",0.95,AUTO,ACTIVE,2026-05-12 10:47:22.097584,2026-05-12 10:47:22.097584
5,HZ2023061500002,河南上黎供应链管理有限公司,SK260506000015,120口径封口膜（4卷装）,SK260506000015,120口径封口膜（4卷装）,"{'unit': '卷', 'ratio': 1.0, 'package_spec': '卷'}",0.95,AUTO,ACTIVE,2026-05-12 10:47:22.097584,2026-05-12 10:47:22.097584
6,HZ2023061500002,河南上黎供应链管理有限公司,SK260506000014,90口径封口膜（4卷装）,SK260506000014,90口径封口膜（4卷装）,"{'unit': '件', 'ratio': 4.0, 'package_spec': '4卷/件'}",0.95,AUTO,ACTIVE,2026-05-12 10:47:22.097584,2026-05-12 10:47:22.097584
7,HZ2023061500002,河南上黎供应链管理有限公司,SK260506000013,90口径封口膜（4卷装）,SK260506000013,90口径封口膜（4卷装）,"{'unit': '卷', 'ratio': 1.0, 'package_spec': '卷'}",0.95,AUTO,ACTIVE,2026-05-12 10:47:22.097584,2026-05-12 10:47:22.097584
8,HZ2023061500002,河南上黎供应链管理有限公司,SK260410000066,常温五合一芝士奶盖,SK260410000066,常温五合一芝士奶盖,"{'unit': '件', 'ratio': 12.0, 'package_spec': '1kg*12盒/件'}",0.95,AUTO,ACTIVE,2026-05-12 10:47:22.097584,2026-05-12 10:47:22.097584
9,HZ2023061500002,河南上黎供应链管理有限公司,SK260410000065,常温五合一芝士奶盖,SK260410000065,常温五合一芝士奶盖,"{'unit': '盒', 'ratio': 1.0, 'package_spec': '盒'}",0.95,AUTO,ACTIVE,2026-05-12 10:47:22.097584,2026-05-12 10:47:22.097584
10,HZ2023061500002,河南上黎供应链管理有限公司,SK260410000068,奶冻粉蛋白固体饮料,SK260410000068,奶冻粉蛋白固体饮料,"{'unit': '箱', 'ratio': 16.0, 'package_spec': '500克*16袋/箱'}",0.95,AUTO,ACTIVE,2026-05-12 10:47:22.097584,2026-05-12 10:47:22.097584
