id,store_code,store_name,store_status,owner_code,owner_name,owner_level,third_party_code,province,city,district,address,phone,contact_person,warehouse,balance,created_at,channel,customer_type,salesman,salesman_code,salesman_phone,backup_phone,unload_fee,specified_location_fee,delivery_to_store,delivery_to_locker,transfer_delivery,delivery_time_slot,customer_tags,import_time
1,KH2026051100044,制茶青年-河北廊坊狮子城店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,廊坊市,安次区,南门外大街与银河南路辅路交叉口西北方向银河湾S9-1-117制茶青年,15097610440,张丽丽,天津仓,0.00,2026-05-11 10:15:20,,,,,,,否,否,否,否,否,上午:10:15-11:15,,2026-05-12 10:13:22.971862
2,KH2026050600308,制茶青年-河北肃宁窝北店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,肃宁县,华高街与庆丰路交叉口正南方向28米左右广发五金装饰材料旁制茶青年,15130776949,时龙欢,天津仓,0.00,2026-05-06 14:19:24,,,,,,,否,否,否,否,否,上午:07:19-10:19,,2026-05-12 10:13:22.981910
3,KH2026050600198,制茶青年-河北保定三中店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,保定市,莲池区,冀英小学旁边制茶,15101021985,陈罗玉,天津仓,0.00,2026-05-06 11:14:41,,,,,,,否,否,否,否,否,上午:00:14-11:14,,2026-05-12 10:13:22.983529
4,KH2026042800303,制茶青年-天津唐官屯店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,天津市,天津城区,西青区,天津市天津市静海区天津市静海区唐官屯镇赵一鸣零食店西邻制茶青年,18831694368,田海港,天津仓,0.00,2026-04-28 11:40:08,,,,,,,否,否,否,否,否,上午:11:39-11:40,,2026-05-12 10:13:22.984136
5,KH2026042700336,制茶青年-南皮县王寺镇店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,南皮县,王寺镇政府附近(赵一鸣对面)制茶青年,18617740885,王伟,天津仓,0.00,2026-04-27 15:24:09,,,,,,,否,否,否,否,否,上午:06:23-10:23,,2026-05-12 10:13:22.985128
6,KH2026042200136,制茶青年-馆陶新天地店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,邯郸市,馆陶县,邯郸市馆陶县筑先路新天地制茶青年,15284387356,王晓红,天津仓,0.00,2026-04-22 12:54:52,,,,,,,否,否,否,否,否,上午:03:54-04:54,,2026-05-12 10:13:22.985803
7,KH2026041500208,制茶青年-香河钱旺镇店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,廊坊市,香河县,爱唯宝幼儿园西制茶青年,17746243333,崔朝旭,天津仓,0.00,2026-04-15 14:37:56,,,,,,,否,否,否,否,否,上午:11:37-11:37,,2026-05-12 10:13:22.986307
8,KH2026041200035,制茶青年-邯郸南徐村店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,邯郸市,馆陶县,武馆线南徐村乡中学东南侧约90米制茶青年,15227869500,史延琪,天津仓,0.00,2026-04-12 09:43:56,,,,,,,否,否,否,否,否,上午:09:43-10:43,,2026-05-12 10:13:22.986893
9,KH2026040901889,制茶青年-河北邯郸武安店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,邯郸市,武安市,桥西路新嘉美食林制茶青年,18732009395,陈雯彬,天津仓,0.00,2026-04-09 14:17:40,,,,,,,否,否,否,否,否,上午:09:17-11:17,,2026-05-12 10:13:22.987763
10,KH2026040800263,制茶青年-河北保定邢家南镇店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,保定市,高阳县,高清路好想来省钱超市旁制茶青年,15533203133,柴玉苓,天津仓,0.00,2026-04-08 15:08:41,,,,,,,否,否,否,否,否,上午:10:08-11:08,,2026-05-12 10:13:22.988457
11,KH2026040700259,制茶青年张家口沙城镇店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,张家口市,怀来县,沙城镇永安西街升华超市隔壁制茶青年,15613773061,王玉坤,天津仓,0.00,2026-04-07 10:29:41,,,,,,,否,否,否,否,否,上午:09:29-10:29,,2026-05-12 10:13:22.988972
12,KH2026033000460,制茶青年-河北沧州前李花村店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,任丘市,和谐路与花园路交叉口正南方向125米左右制茶青年,15383276901,齐贝贝,天津仓,0.00,2026-03-30 14:39:30,,,,,,,否,否,否,否,否,上午:08:39-10:39,,2026-05-12 10:13:22.989578
13,KH2026032900035,制茶青年文安德归店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,廊坊市,文安县,友好街与廊泊大道交叉口东南方向80米左右制茶青年,17731767279,尹锁英,天津仓,0.00,2026-03-29 14:06:21,,,,,,,否,否,否,否,否,上午:09:05-11:05;下午:13:05-17:05,,2026-05-12 10:13:22.990076
14,KH2026031200037,天津仓-上黎,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,天津市,天津城区,西青区,中北镇中北汽车工业园2号库,17692639051,天津仓,天津仓,0.00,2026-03-12 09:20:29,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:22.990529
15,KH2026030700093,制茶青年-霸州四小店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,廊坊市,霸州市,霸州镇迎恩村草桥主街23号制茶青年（霸州四小旁）,18831668976,许伟灿,天津仓,0.00,2026-03-07 16:06:05,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:22.991006
16,KH2026020500375,制茶青年-河北衡水霞口店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,衡水市,阜城县,霞口镇西霞口村（霞口药房）制茶青年,15833273531,冯平平,天津仓,0.00,2026-02-05 16:15:28,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:22.991758
17,KH2026020100024,制茶青年-内蒙古赤峰沟梁镇,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,内蒙古自治区,赤峰市,敖汉旗,金场沟梁镇制茶青年,18232878489,王伟,天津仓,0.00,2026-02-01 11:51:05,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:22.992414
18,KH2026020100023,制茶青年-邯郸曹前公路店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,邯郸市,肥乡区,Y066与曹前公路交叉口西南方向360米左右,19333270836,岳霞,天津仓,0.00,2026-02-01 11:50:01,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:22.993821
19,KH2026013100108,制茶青年-保定清苑区北王力店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,保定市,清苑区,北王力乡北王力村十字路口西南角制茶青年,18733800705,陈宁,天津仓,0.00,2026-01-31 15:29:03,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:22.994690
20,KH2026013100054,制茶青年-文安永定路店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,廊坊市,文安县,赵各庄镇辛庄乡董安祖村制茶青年,15383161692,胡娟,天津仓,0.00,2026-01-31 11:12:46,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:22.995500
21,KH2026013100050,制茶青年-河北文安步行街店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,廊坊市,文安县,史各庄镇二村商品大街11号,15100702728,邬贺,天津仓,0.00,2026-01-31 11:10:32,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:22.996283
22,KH2026013100048,制茶青年-霸州临津店-下午送货,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,廊坊市,霸州市,开发区临南村制茶青年,15532644000,耿刚,天津仓,0.00,2026-01-31 11:07:42,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:22.997016
23,KH2026012800215,制茶青年河北沧州梁召店,启用,HZ2023061500002,河南上黎供应链管理有限公司,VIP,,河北省,沧州市,任丘市,梁召镇梁召大街永兴酒楼对过制茶青年,13373535632,张露露,天津仓,0.00,2026-01-28 15:28:18,,,,,,,否,否,否,否,否,上午:09:30-11:30;下午:13:30-20:00,,2026-05-12 10:13:22.997624
