id,sku_code,sku_name,category,unit,weight_kg,fee_coefficient,warehouse_code,embedding_vector_id,status,created_at,updated_at,package_spec
467,SK241120000197,柠檬（常温）,保鲜品,箱,15.0,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,15kg/箱
468,SK260506000023,速冻芭乐浆,冷冻品,件,1.0,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,1kg*12瓶/件
469,SK260506000022,速冻芭乐浆,冷冻品,瓶,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,瓶
470,SK260506000016,120口径封口膜（4卷装）,常温品,件,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,4卷/件
471,SK260506000015,120口径封口膜（4卷装）,常温品,卷,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,卷
472,SK260506000014,90口径封口膜（4卷装）,常温品,件,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,4卷/件
473,SK260506000013,90口径封口膜（4卷装）,常温品,卷,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,卷
474,SK260410000066,常温五合一芝士奶盖,常温品,件,1.0,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,1kg*12盒/件
475,SK260410000065,常温五合一芝士奶盖,常温品,盒,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,盒
476,SK260410000068,奶冻粉蛋白固体饮料,常温品,箱,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,500克*16袋/箱
477,SK260410000067,奶冻粉蛋白固体饮料,常温品,袋,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,袋
478,SK240826000018,三孔吸管,常温品,件,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,100支*10包/件
479,SK240826000017,三孔吸管,常温品,包,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,包
480,SK260329000070,可可饼干碎（500g*16袋）,常温品,件,0.5,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,500g*16袋/件
481,SK260329000069,可可饼干碎（500g*16袋）,常温品,袋,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,袋
482,SK260326000033,冷冻蜜瓜浆,冷冻品,件,1.0,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,1kg*12瓶/件
483,SK260326000032,冷冻蜜瓜浆,冷冻品,瓶,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,瓶
484,SK260326000031,冷冻草莓浆,冷冻品,件,1.0,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,1kg*12瓶/件
485,SK260326000030,冷冻草莓浆,冷冻品,瓶,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,瓶
486,SK260319000080,玫珑瓜纸杯,常温品,件,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,250个/件
487,SK260319000079,玫珑瓜纸杯,常温品,个,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,个
488,SK260318000059,玫珑瓜冰淇淋粉,常温品,箱,3.0,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,3kg*6袋/箱
489,SK260318000058,玫珑瓜冰淇淋粉,常温品,袋,3.0,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,3kg/袋
490,SK260225000045,马蹄爆爆珠(850g*12罐),常温品,件,0.85,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,850g*12罐/件
491,SK260225000044,马蹄爆爆珠(850g*12罐),常温品,罐,0.85,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,850g/罐
492,SK260224000073,圣代勺（1000支）,常温品,件,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,100个*10包/件
493,SK260224000072,圣代勺（1000支）,常温品,包,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,100个/包
494,SK260120000062,新年旋转主题-500纸杯,常温品,件,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,500个/件
495,SK260120000061,新年旋转主题-500纸杯,常温品,个,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,500个
496,SK251208000081,红西柚颗粒罐头（520g*24罐）,常温品,箱,0.52,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,520g*24罐/箱
497,SK251208000080,红西柚颗粒罐头（520g*24罐）,常温品,罐,0.52,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,520g/罐
498,SK251127000312,轻乳茶大杯（纸杯）,常温品,件,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,20只*25条/件
499,SK251127000311,轻乳茶大杯（纸杯）,常温品,条,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,20只/条
500,SK251110000035,牛乳茶纸杯,常温品,箱,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,25只*20条/箱
501,SK251110000034,牛乳茶纸杯,常温品,条,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,25只/条
502,SK251105000474,速煮珍珠粉圆（黑珍珠）,常温品,件,1.0,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,1kg*16袋/件
503,SK251105000473,速煮珍珠粉圆（黑珍珠）,常温品,袋,1.0,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,1kg/袋
504,SK251025001546,制茶青年甄选老红糖,常温品,件,1.0,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,1kg*16袋/件
505,SK251025001545,制茶青年甄选老红糖,常温品,袋,1.0,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,1kg/袋
506,SK251021000148,呱呱蛙糯米蛋黄锅巴(藤椒麻辣味),常温品,件,0.04,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,40g*100袋/件
507,SK251021000147,呱呱蛙糯米蛋黄锅巴(藤椒麻辣味),常温品,袋,0.04,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,40g/袋
508,SK251021000144,呱呱蛙糯米蛋黄锅巴(海苔肉松味),常温品,件,0.04,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,40g*100袋/件
509,SK251021000143,呱呱蛙糯米蛋黄锅巴(海苔肉松味),常温品,袋,0.04,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,40g/袋
510,SK251015000174,外卖杯托,常温品,套,,1.0,WH-TJ,,ACTIVE,2026-05-12 10:45:57.363905,2026-05-12 10:45:57.363905,300个/套
