id,warehouse_name,warehouse_code,created_at
44,济南仓,2,2026-05-12 17:43:45.029457
45,南京仓,3,2026-05-12 17:43:45.029457
46,郑州仓,4,2026-05-12 17:43:45.029457
47,杭州仓,5,2026-05-12 17:43:45.029457
48,西安仓,6,2026-05-12 17:43:45.029457
49,武汉仓,7,2026-05-12 17:43:45.029457
50,天津仓,8,2026-05-12 17:43:45.029457
51,太原仓,9,2026-05-12 17:43:45.029457
52,长沙仓,10,2026-05-12 17:43:45.029457
53,合肥仓,13,2026-05-12 17:43:45.029457
54,泉州仓,19,2026-05-12 17:43:45.029457
55,沈阳仓,21,2026-05-12 17:43:45.029457
56,上海仓,23,2026-05-12 17:43:45.029457
57,冻品批水产仓,14,2026-05-12 17:43:45.029457
58,华鼎前置1号仓,16,2026-05-12 17:43:45.029457
59,总部79号仓,17,2026-05-12 17:43:45.029457
60,华鼎重庆仓,DXJCK005,2026-05-12 17:43:45.029457
61,华鼎济宁仓,DXJCK012,2026-05-12 17:43:45.029457
62,华鼎菏泽仓,DXJCK015,2026-05-12 17:43:45.029457
63,华鼎潍坊仓,DXJCK016,2026-05-12 17:43:45.029457
64,冻品批信基仓,71,2026-05-12 17:43:45.029457
65,太原外置仓,72,2026-05-12 17:43:45.029457
66,雪港甄选-郑州总仓,xgzx-001,2026-05-12 17:43:45.029457
67,华鼎郑州物流港仓,DXJCK066,2026-05-12 17:43:45.029457
68,雪港-洛阳仓,xg-001,2026-05-12 17:43:45.029457
69,华鼎苏州仓,DXJCK068,2026-05-12 17:43:45.029457
70,华鼎合肥大众仓,DXJCK071,2026-05-12 17:43:45.029457
71,华鼎上海凌洋仓,DXJCK072,2026-05-12 17:43:45.029457
72,雪港-濮阳仓,xg-002,2026-05-12 17:43:45.029457
73,雪港-三门峡仓,xg-003,2026-05-12 17:43:45.029457
74,雪港-登封仓,xg-004,2026-05-12 17:43:45.029457
75,雪港-新乡,xg-005,2026-05-12 17:43:45.029457
76,长沙设备监管仓,xn-001,2026-05-12 17:43:45.029457
77,天津设备监管仓,xn-002,2026-05-12 17:43:45.029457
78,黄辣丁虚拟仓,CK050,2026-05-12 17:43:45.029457
79,广州仓,18,2026-05-12 17:43:45.029457
80,成都仓,24,2026-05-12 17:43:45.029457
81,雪港-西安仓,xg-006,2026-05-12 17:43:45.029457
82,华鼎监管仓,25,2026-05-12 17:43:45.029457
83,乌鲁木齐仓,26,2026-05-12 17:43:45.029457
84,哈尔滨仓,27,2026-05-12 17:43:45.029457
85,石家庄仓,28,2026-05-12 17:43:45.029457
86,济南万泽仓,34,2026-05-12 17:43:45.029457
87,兰州仓,37,2026-05-12 17:43:45.029457
88,辽阳绿源监管仓,40,2026-05-12 17:43:45.029457
89,南昌仓,48,2026-05-12 17:43:45.029457
90,洛阳仓（一拙鲜）,HZ03,2026-05-12 17:43:45.029457
91,吉林中冷仓,50,2026-05-12 17:43:45.029457
92,郑州整合中心（RDC）仓,53,2026-05-12 17:43:45.029457
93,廊坊万维仓,LFWW,2026-05-12 17:43:45.029457
94,上海心源仓,HZ04,2026-05-12 17:43:45.029457
95,漯河泉润仓,54,2026-05-12 17:43:45.029457
96,重庆德派仓,55,2026-05-12 17:43:45.029457
97,西安茶话弄仓,56,2026-05-12 17:43:45.029457
98,众合日日顺,ZZRRS01,2026-05-12 17:43:45.029457
99,众合杭州万维仓,HZ06,2026-05-12 17:43:45.029457
100,天津正和仓,60,2026-05-12 17:43:45.029457
101,郑州设备监管仓,HZ07,2026-05-12 17:43:45.029457
102,兰州设备监管仓,HZ08,2026-05-12 17:43:45.029457
103,兰州仓（康易达）,CKLZ01,2026-05-12 17:43:45.029457
